,ORA_ACTU,GLE_ACTU,ALO_ACTU,KER_ACTU,CAP_ACTU,AIR_ACTU,CS_ACTU,BNP_ACTU,ORA_RDMT_5,GLE_RDMT_5,ALO_RDMT_5,KER_RDMT_5,CAP_RDMT_5,AIR_RDMT_5,CS_RDMT_5,BNP_RDMT_5
2018-06-08,NR,NR,"La fusion avec Siemens Mobility avance (CF) | Oddo à l'achat, attend des 'chiffres définitifs' (CF)","S'envole de +4%, un analyste relève son objectif (CF) | Bryan Garnier relève sa cible (CF)",NR,Airbus et Bombardier concluent leur alliance dans le C Series (AFP) | Partenariat conclu sur le programme C Series (CF),NR,NR,-0.0027257213855630402,-0.00846088183137439,-0.022195058883426877,0.013058975431779363,0.041077753102811476,0.026759136842527065,-0.00917425975184516,0.008193642839063875
2018-06-11,NR,Plusieurs nominations en Afrique (CF),NR,NR,NR,NR,NR,Acquisition pour la filiale 'Leasing Solutions' (CF),-0.020938899913992115,-0.03344789528968606,-0.02105779339017133,0.0035502717810034223,0.033450731538728684,0.009910802625146875,-0.018421681846795823,-0.013350393894698498
2018-06-13,NR,NR,NR,Départ de Tomas Maier de Bottega Veneta (CF) | Bottega veneta et tomas maier mettent fin à leur collaboration (BNW) | Credit suisse se montre plus optimiste (CF) | Invest Securities vise maintenant 610 euros (CF),"Remonte tester la résistance des 116,6E (CF)",NR,Partenariat de bancassurance avec ING (CF),NR,-0.011359722284779217,-0.0318454269482199,-0.02533829667769527,-0.04748713947336469,-0.015483897219422005,-0.002994640156158135,-0.014476127331998878,-0.014859614447534808
2018-06-14,NR,NR,Alstom: GE renonce à ses engagements sur l'emploi en France (AFP) | Alstom: GE renonce à tenir ses engagements sur l'emploi en France (AFP) | Alstom: General Electric ne tiendra pas ses engagements en termes d'emploi (AFP),NR,NR,"Nouveau record absolu à 104,3E (CF) | Inaugure sa quatrième ligne d'A320 à Hambourg (CF)",NR,NR,-0.026297829224944835,-0.04057662826782393,-0.022106294473467236,-0.06723664443734378,-0.04491528009964252,-0.05709641698640655,-0.02610486460837813,-0.029905167488790463
2018-06-15,NR,NR,NR,Directeur de la création nommé chez Bottega Veneta (CF) | Daniel lee nommé directeur de la création de bottega veneta (BNW),NR,Partenariat avec le gouvernement de Côte d'Ivoire (CF),NR,NR,-0.009566131953074097,-0.018827026346676434,-0.015964124640194588,-0.05078125,-0.03775983882782463,-0.02857142015510794,-0.008333347314669504,-0.004063561566001628
2018-06-18,NR,Plusieurs nominations en France (CF) | Partenaire de la CleanTech Week (CF),NR,NR,NR,Hong Kong reçoit ses premiers H175 (CF) | Derniers essais pour l'A330neo (CF) | 1er essai de mise à feu du démonstrateur ETID (CF),NR,NR,-0.004829230450284938,-0.01983308625546476,-0.02451227151940627,-0.07881284698901014,-0.044293053748303945,-0.04946026339604481,-0.01946246884980607,-0.020018569337937553
2018-06-19,NR,La filiale 'affacturage' renommée (CF),38 tramways commandés par Francfort (CF) | Présente son nouveau bus électriques Aptis (CF),NR,NR,Cathay Pacific prend livraison d'un A350-1000 (CF),NR,Acquisition d'un EPHAD à Blagnac (CF) | Nouveau co-responsable des Ventes Europe (CF),-0.008650519145325664,-0.018774876300719168,-0.024322959284095336,-0.037269645450902944,-0.019130408245584207,-0.03846913615542369,-0.021632944146676047,-0.018790666447129345
2018-06-20,NR,NR,NR,"4ème séance de repli, approche du support des 478,7 (CF)",Ouvre son premier SOC en Europe du Sud (CF) | Met la main sur Adaptive Lab (CF),Le satellite RemoveDEBRIS a été lancé depuis l'ISS (CF),NR,Acquisition d'un grand pôle logistique par REIM (CF) | Nouveaux bureaux pour Real Estate à Lyon (CF),0.006615617639282867,-0.011285539263554467,-0.0063099877941209526,0.007478201390026973,-0.008300541490375068,-0.007809359238545421,-0.023082254088547915,-0.015828720237281324
2018-06-21,NR,Acquisition de Lumo une Fintech française (CF),NR,Va céder le contrôle de la marque Christopher Kane (CF) | Kering en discussion avec m. christopher kane en vue de lui céder le contrôl... (BNW),NR,Livraison des deux premiers H145 à la REGA (CF),NR,NR,0.003858316712327836,-0.0009738410893009863,-0.003555964804412559,-0.0070833206176758035,0.0026619614896314925,-0.004767152944177178,-0.02069121275983532,-0.00921055773382895
2018-06-22,NR,NR,NR,NR,NR,"AEGEAN Airlines commande 30 A320neo (CF) | Sans accord de Brexit, Airbus menace de quitter le Royaume-Uni (AFP) | Brexit: Airbus menace de revoir ses investissements au Royaume-Uni faute d'a... (AFP)",NR,NR,-0.010348369762990695,-0.002898938119756611,-0.002281296973016378,-0.004938259046264104,0.01587297529226661,-0.003775807389929886,-0.018907595014144407,-0.013538567637725984
2018-06-25,NR,The Capital Group sous les 5% des DDV (CF),NR,NR,NR,"En Chine, Philippe obtient un accord sur le boeuf et des promesses renouvelé... (AFP)",NR,Signature d'un nouveau bail à Saint-Denis (CF),-0.012478357212875157,0.006000455676903771,0.005384656524294096,0.008107505214423272,0.016488468394246336,0.00877553653484342,-0.015831714881303638,0.0013239965242746177
2018-06-26,NR,NR,NR,"Fausse cassure des 478,8E ? (CF)",NR,"Livre à Iberia son premier A350 XWB (CF) | Ricoche sous les 101,5E, préserve les 96E (CF)",NR,NR,0.0059336851154438985,0.01270954862433804,0.014135196555897123,-0.007153364156965547,0.011524781801351303,0.013266985227617045,-0.006894933572482054,0.008532365072447812
2018-06-27,Feu vert au nouvel accord Orange/SFR pour le déploiement de la fibre optique (AFP) | Dépose un projet d'OPAS sur Business & Decision (CF),NR,Présente une locomotive de fret pour l'Azerbaïdjan (CF),NR,NR,NR,NR,"Ouvre un 'gap' sous 52,7E (CF)",0.019024532686387374,0.011553478192716904,-0.006349952078593568,-0.026804123711340222,-0.016299546027498613,-0.011099883865370086,0.0026252217577213965,0.006811743060462838
2018-06-28,NR,NR,NR,NR,NR,Une peinture spéciale pour le premier BelugaXL (CF) | Un premier A330 livré à Nepal Airlines (CF),NR,BNP Paribas Securities Services: un accord avec DWS (CF),0.03563936130346956,0.02506619012609068,-0.00866680802860298,-0.010281145265911174,0.0022123893805310324,-0.0038728584608170857,0.014405725141409365,0.02712958319130454
2018-06-29,OPA amicale sur les actions Business & Decision (CF),NR,NR,NR,"Rebondit vigoureusement sur 112,2E (CF)",Pourrait déborder les 101E (CF) | Commande d'hélicoptères H145M par la Hongrie (CF),NR,NR,0.03590096758883554,0.01675202863404701,-0.011178892167845733,-0.014681567439839616,-0.014756918344416059,-0.017554379600341785,0.005472270971124127,0.012596390316621298
2018-07-02,NR,NR,Nouvelle Vice-Présidente Senior de l'Asie-Pacifique (CF) | Inaugure un nouveau tramway pour Nice (CF),"Retombe au contact des 468,7E (CF)",NR,Pénalisé par une information sur l'A320neo (CF) | Airbus maintient ses objectifs de livraison en 2018 d'avion malgré les retar... (AFP) | Signe un accord avec l'ONU (CF) | Clôture du partenariat sur le programme C Series (CF),NR,Une 1ère pierre posée à Marseille (CF),0.045630086165429296,0.02344295363097393,-0.000255063899749719,0.02857142857142847,-0.0008768619100364416,0.017296105385746774,0.0223289380817413,0.018322652925301552
2018-07-03,Accord de l'Arcep pour des tests 5G à Marseille (CF),"Société Générale s'offre les activités ""Actions et matières premières"" de Co... (AFP) | Acquiert les activités EMC de Commerzbank (CF) | Société Générale va racheter les activités ""Actions et matières premières"" d... (AFP)",NR,NR,NR,Lance son 'Airnovation Summer Academy' (CF),NR,Nomination chez Real Estate Transaction à Lille (CF),0.02463570434904616,0.009240079288461933,-0.002280823039638502,0.04640812498354974,0.00613500952671342,0.05707849917888019,0.010533842994660647,0.004136138867893324
2018-07-04,"Se redresse vers 14,8E (CF) | Accord d'intéressement avec les syndicats (CF)",NR,Un accord pour une ligne de métro au Nigeria (CF) | Va réaliser le métro de Lagos au Nigeria (CF),NR,En recul avec une dégradation d'analyste (CF) | Invest Securities passe à 'vente' (CF),NR,NR,NR,-0.0003393863490808169,-0.0063299724241527855,0.001022497683264012,0.006355932203389925,0.028660966453282866,0.05244897336375964,-0.011187751125544598,-0.011651925249998585
2018-07-05,NR,NR,NR,NR,NR,L'ESA confie 2 études pour des échantillons martiens (CF) | Développe sa recherche avec des partenaires chinois (CF),BlackRock dépasse les 5% des DDV (CF) | Gaz industriel: Praxair cède ses actifs européens avant sa fusion avec Linde (AFP),S&P relève sa perspective de crédit (CF),-0.0070849895005732355,-0.021464499632574352,0.016713774366055922,0.03540381865015396,0.02339957197244069,0.0757110874525806,-0.01846150956915682,-0.03213886005514466
2018-07-06,NR,NR,NR,NR,NR,Le patron d'Airbus accuse Londres de n'avoir aucun plan pour le Brexit (AFP) | Prévoit une flotte mondiale doublée en 20 ans (CF),NR,NR,-0.017496586891957988,-0.014978296118566492,0.010020556098106592,0.033578174186778664,0.02422907488986792,0.09035534544039492,-0.018457141748144168,-0.027478639537034888
2018-07-09,Signature d'un protocole d'accord avec Europol (CF),Ligne de crédit à impact pour Séché (CF),Présente ses innovations à InnoTrans 2018 (CF),NR,NR,NR,NR,NR,-0.021819453034662706,-0.01423143724228304,-0.021173500925747657,0.00864200042599017,0.026766152992028447,0.07585513883080064,-0.025364062578950297,-0.02559823913969983
2018-07-10,NR,NR,Présente le Citadis X05 de Caen la mer (CF) | Contrat pour la Ligne 7 du Métro de Taipei (CF),NR,NR,"Airbus: protocole d'accord avec JetBlue pour 60 A220-300 (AFP) | Nouveau membre de la famille Airbus: l'A220, ex-CSeries de Bombardier (AFP) | Présente ses avions A220 (CF) | L'avion CSeries de Bombardier devient A220 après la prise de participation m... (AFP) | Brexit: le patron d'Airbus salue la direction prise par Theresa May (AFP) | 'gap' au-dessus des 99,68E, objectif 105E (CF)","Plafonne sous 21,3E, vers un re-test du plancher 20,82E (CF)",NR,-0.03826620527734226,-0.007242399249612896,-0.024638039774140363,0.007087890009157771,0.030052237426219763,0.041803826952863776,-0.01255623764019076,-0.02377832730559737
2018-07-11,NR,NR,Homologation de son train à hydrogène en Allemagne (CF) | Alstom remporte un contrat de 15 ans pour le métro de Sydney (AFP) | Contrat de maintenance pour le métro de Sydney (CF),NR,NR,Plusieurs présentations durant le salon Farnborough (CF) | Engagement de coommande d'A220 par JetBlue (CF),Prépare la finalisation du rapprochement avec XL (CF),NR,-0.03837015412024214,0.010524887769925106,-0.017875379341767195,0.06021053916529606,0.026991715414080852,0.039363947863288784,0.008666360193001266,-0.009887820046680207
2018-07-12,NR,NR,NR,NR,NR,NR,BlackRock détient moins de 5% de droits de vote (CF),NR,-0.04485218080653819,0.007080412951180781,-0.022003069556959742,0.014537277215897149,0.004745430674049533,0.01845161168602072,0.009404373720002246,-0.011068736911548416
2018-07-13,NR,NR,L'UE examine à la loupe l'union entre Alstom et Siemens (AFP) | Enquête approfondie de l'UE sur le projet d'union entre Alstom et Siemens (AFP) | L'UE ouvre une enquête sur le rachat par Siemens (CF),NR,NR,Livraison d'un premier A321neo 'Cabin Flex' (CF),NR,NR,-0.03458904803056462,-0.004561711616887565,-0.024675644347213477,-0.01157362884676394,-0.003440873340893824,-0.015270012722050752,0.0004821711182350086,-0.012982059780630828
2018-07-16,Big data: Orange rachète le britannique Basefarm (AFP) | Acquisition de 100% du capital de Basefarm Holding (CF),NR,"Enquête de Bruxelles, chute de -3% vers 38E (CF) | En repli de -2,5%, un analyste reste confiant (CF) | Les actionnaires d'Alstom votent mardi sur la prise de contrôle par Siemens (AFP) | Oddo reste à l'achat après l'enquête de l'UE (CF)",NR,NR,SalamAir commande six nouveaux A320neo (CF) | Macquarie AirFinance commande 20 A320neo (CF) | Commande de 80 A320neo par un bailleur mondial (CF) | Goshawk Aviation commande 20 A320neo (CF) | Vistara commande 50 appareils A320neo (CF) | Golden Falcon Aviation commande 25 A320neo (CF) | Commande de STARLUX Airlines pour l'A350 XWB (CF) | A reçu une commande de dix A350 XWB (CF) | Signe un contrat pour 55 hélicoptères avec l'Ukraine (CF) | Livraison du 1er A350 XWB à Philippine Airlines (CF),Gaz industriel: Linde cède une majorité de ses actifs américains avant sa fu... (AFP),NR,-0.03122854723653057,-0.0046748790264250495,-0.0028668041491785035,-0.012851934217998573,-0.015811952770265814,-0.0142136173345776,0.0014458162238799588,-0.007805061049681594
2018-07-17,"Va tester la 5G en Île-de-France (CF) | Décroche sous 14,5E, support vers 14,2E (CF)",Une nouvelle directrice de l'Innovation (CF),Les actionnaires approuvent le rapprochement (CF),NR,NR,Une future compagnie américaine passe commande (CF) | Level rajoute deux A330-200 à sa flotte (CF) | Signe un contrat avec la Garde côtière du Japon (CF) | Protocole d'accord pour 25 A321neo et 75 A320neo (CF) | Enregistre une commande pour huit A350-900 (CF),NR,NR,-0.010563353559512212,0.01183758557864878,-0.004427015314031779,-0.01286948331707738,-0.026215631916457482,-0.015604683708245637,0.0107965633312046,0.026658983619481935
2018-07-18,NR,NR,Alstom choisit Forsee Power pour les batteries de ses bus électriques (AFP) | A choisi Forsee Power pour ses bus Aptis (CF),NR,NR,"Uganda Airlines commande deux A330-800neo (CF) | Viva Aerobus confirme une commande (CF) | EasyJet prend livraison de son 1er A321neo (CF) | A marqué un sommet historique à plus de 109 E (CF) | Farnborough: Airbus et Boeing s'affrontent sur les commandes (AFP) | Annonce six commandes d'A330neo (CF) | Airbus présente Zephyr, un drone-satellite à énergie solaire (AFP)",NR,NR,-0.012711886095724712,0.005755764861165247,-0.011960564527093154,0.0,-0.018651945783496493,-0.021455181789545752,-0.00047733787673776007,0.021125378923910976
2018-07-19,NR,NR,Hausse de 14% du CA à 2 MdsE au 1er trimestre (CF),NR,"Double-top sous 1185,25E, retombe sous 116E (CF)","Premier vol du Beluga XL, le nouveau géant de la famille Airbus (AFP) | Farnborough: l'omnipotence d'Airbus et Boeing pourrait durer (AFP) | Premier vol du BelugaXL (CF) | Nouveaux contrats pour 431 avions à Farnborough (CF) | AirAsia X commande 34 A330neo (CF) | Farnborough: Airbus et Boeing s'affrontent sur les commandes (AFP) | Nouvelle commande pour 50 avions A321neo (CF) | 50 A321neo de plus pour Vietjet (CF) | Premier vol du Beluga XL, le géant de la famille Airbus (AFP) | Nouvelle commande 10 appareils A320neo (CF)",NR,NR,0.017431510511519477,0.015853343139850207,-0.011895506274466228,0.014732568704276083,0.006440532586130976,0.023720590886193937,0.005255643036200075,0.03898109744615508
2018-07-23,NR,Deux nominations au Comité de direction (CF),Un système de signalisation et contrôle à Amsterdam (CF),NR,Distingué comme partenaire par Microsoft (CF),NR,NR,NR,0.034360653079425596,0.033844411782002704,-0.00026139717488904424,-0.04215745847033081,-0.04038212300704014,0.01574657267067181,0.028873842843840203,0.05717574066206077
2018-07-24,NR,NR,NR,NR,NR,NR,NR,"Rebondit vers 53,25E (CF)",0.04021349271979968,0.036865719027601385,0.00392360395199165,-0.07109389759708107,-0.04646112377965306,0.0001886831707209602,0.025397571034813327,0.03997757217353226
2018-07-25,NR,Annonce plusieurs nominations (CF),Contrat de 60 millions d'euros en Australie (CF),Refranchit le cap des 500E (CF),NR,NR,BlackRock allège la ligne (CF),NR,0.04327614561665882,0.034745920056752144,0.008947447737447378,-0.08935663116483405,-0.07300213346213558,0.01620588106305032,0.03557778953601609,0.04212905314288884
2018-07-26,"Oddo salue les résultats du 1er semestre 2018 (CF) | Orange poursuit sur sa lancée, porté par la France et l'Espagne (AFP) | Confirme ses objectifs pour 2018 (CF)",NR,"TGV du futur: la SNCF confirme une méga-commande à Alstom (AFP) | La SNCF commande à Alstom une centaine de ""TGV du futur"" (AFP) | La SNCF commande 100 TGV 'du futur' (CF)","Mise a disposition du rapport financier semestriel 2018 (BNW) | Forte hausse du résultat net pdg à 2 359,6 ME (CF) | Excellent premier semestre (BNW)",Relève ses objectifs de croissance annuelle (CF),EBIT ajusté doublé au 1er semestre (CF),NR,NR,0.012937025417821157,0.0073280078387392145,-0.00026173923622963,-0.09427206652200959,-0.06953919887970283,-0.028644401669168373,0.041349757320719105,0.01448734727129053
2018-07-27,NR,The Capital Group s'allège au capital (CF),NR,Oddo confirme son conseil après les résultats (CF),"Publication 'mitigée', mais Oddo remonte sa cible (CF)",Le Luxembourg commande deux hélicoptères H145M (CF) | UBS porte sa cible à 124 euros (CF),NR,NR,-0.0010253139579915471,0.0025509506370615664,0.002610345572254369,-0.00969827586206895,-0.030530946444621176,-0.01318676604628699,0.038869203333964375,-0.006934326157038373
2018-07-30,Trois centres de contacts certifiés supplémentaires (CF),L'activité banque privée en Belgique cédée (CF) | Annonce deux nominations (CF),NR,NR,"Rechute sous 111,65E, objectif 106,8E (CF)",L'A350 XWB ULR de Singapore à l'atelier de peinture (CF),Les prévisions de résultats d'un analyste (CF) | Les prévisions de résultats semestriels d'Oddo (CF),NR,-0.0010274207486865583,-0.0033404598107045214,0.0015685780179881537,-0.012513458021507606,-0.016742067639104907,0.006910700888267174,0.03157161697404742,-0.0194192327487408
2018-07-31,NR,"S'attaque à la résistance des 38,2E (CF)",Contrat de près de 330 millions d'euros en Italie (CF),NR,NR,Commerzbank vise maintenant 128 euros (CF),NR,Acquisition d'un immeuble à Rome (CF),0.004789644173438079,-0.015612731859718454,0.003126636998505683,0.02346493905050706,-0.00045540118732279034,0.028301886792452935,0.02083327998349782,-0.020298137068168964
2018-08-01,NR,NR,NR,NR,NR,NR,Va céder AXA Life Europe à Cinven (CF),Résultat net stable au 2e trimestre (CF),-0.006856385410228039,-0.012378225061706272,0.0002607444414757243,0.012865228560752895,0.023299160567535893,0.01219515075390376,0.022826878091965153,-0.018227726481041984
2018-08-02,NR,"Rechute de -2%, sous 37E (CF) | Cession d'activités dans les Balkans (CF) | Hausse de 8,6% du résultat net sous-jacent (CF)",NR,NR,NR,NR,Baisse de 11% du résultat net semestriel (CF),NR,-0.0006903193265116458,0.0010776532135599037,0.0007854232847794851,0.03842775633408957,0.006877578899690873,0.020473330545155655,0.01620262641299197,-0.008055632283290537
2018-08-03,NR,NR,NR,NR,NR,NR,Oddo reste à l'achat après les semestriels (CF),NR,-0.0263428145679937,-0.02973083266562082,-0.008070810374568138,0.011099033957596482,0.0045641258427329134,-0.0022272224239625604,-0.008616718062721906,-0.034178553073081486
2018-08-06,NR,NR,NR,NR,NR,NR,Linde plonge de plus de 9% sur fond d'incertitudes sur sa fusion avec Praxair (AFP),NR,-0.023654457739215817,-0.03861103894377016,-0.017227765322759603,0.018789546332909968,0.01702713712047621,0.002596909479589904,-0.017683037145862723,-0.03738664637056577
2018-08-07,NR,NR,NR,NR,NR,A livré 380 appareils de janvier à juillet (CF),NR,Acquisition de trois hôtels à Munich (CF),-0.030643564867613327,-0.05251236179539187,-0.03038961305407939,-0.005356760091300372,0.009111617312072884,-0.00917431192660545,-0.023582701515066362,-0.04913825192864629
2018-08-08,NR,NR,NR,NR,NR,Sichuan Airlines livré de son premier A350-900 (CF) | Air China a pris livraison de son premier A350-900 (CF),NR,NR,-0.02416288823549051,-0.0582667032877604,-0.03885259442817446,-0.027987082884822434,0.00409833274804261,-0.02483781526669404,-0.035166847426214454,-0.05514705727669611
2018-08-14,Finalise l'acquisition de Basefarm Holding (CF),NR,NR,NR,NR,NR,NR,NR,0.0007025099489303965,0.00450143959352256,0.009375835150345013,-0.0051702377228548535,0.013995512882688965,-0.005000008477105022,0.009057115123325188,-0.0015426500214641425
2018-08-16,NR,NR,NR,NR,NR,Le premier ACJ320neo a été assemblé (CF),NR,NR,0.007738280372597828,0.013250560750799556,0.014586694036813785,0.007505505290252401,-0.002244165139817511,0.001673487441999244,0.006484455241268616,0.011673121718080326
2018-08-20,NR,NR,NR,Directeur général pour la haute horlogerie suisse (CF),NR,NR,NR,NR,0.013037380203481552,0.029361697798925057,0.016872007002780354,0.017062621806661626,-0.002659601450721194,0.0011123725402044649,0.019521268334128816,0.0250097454408853
2018-08-23,NR,NR,Bruxelles suspend son enquête sur l'union entre Alstom et Siemens (AFP),NR,NR,NR,NR,NR,-0.018499085038524155,-0.009321065589126043,0.017039340748698395,0.056967573066832866,0.007197439598568334,0.011509240001396526,0.009203900927412079,-0.013461553133450987
2018-08-27,NR,Un nouveau Directeur du Métier Titres (CF),NR,Revient au contact des 466E (CF),NR,Belle avancée pour le projet Perlan 2 (CF) | Aides à Airbus: mise en place d'un nouveau panel à la demande de l'UE (AFP),NR,NR,-0.029565230659816533,-0.025217057168944734,0.0007900725627258964,-0.018475221495470207,-0.015111083984374996,-0.00462962962962965,0.008434072386382274,-0.0343118427082344
2018-08-29,NR,NR,NR,NR,NR,"Leader du CAC, tutoie les 111E (CF)",NR,NR,-0.04481788526723418,0.0037499533759222103,-0.012605076061407483,-0.08822918605560215,-0.05681315081392735,-0.0641468082427964,-0.004524904060796975,-0.017115372877854584
2018-08-30,"Vers un test des 13,91E (CF) | Contrat PMR auprès du Ministère de l'Intérieur (CF) | Série de nominations chez Orange France (CF)",NR,NR,NR,NR,Le 1er A380 d'ANA sort de la chaîne d'assemblage (CF),NR,NR,-0.03982933164321811,0.008285408999728627,-0.014397811455118092,-0.10841622813990237,-0.061634605489756744,-0.04312721997487157,0.0015959802519405208,-0.006042837489358077
2018-08-31,NR,NR,NR,"Comble le 'gap' des 482,1E puis retombe (CF)",NR,NR,NR,Nouveau responsable Europe Large Cap Equities (CF),-0.026090048398120236,0.004540290572967676,0.014210620447028033,-0.04444441836104429,-0.047963828522695096,-0.013363502444874054,0.0020694446795677113,-0.003161427494220992
2018-09-03,NR,"Société Générale pense payer autour de 1,2 milliards d'euros de sanctions (AFP) | Un point sur les enquêtes des autorités US (CF)",NR,NR,NR,Se repositionne au coeur du corridor 105/111E (CF) | Nouveau record pour le projet Perlan Mission II (CF),"Remonte lentement vers 22,3E (CF)",NR,-0.019354803425160716,0.007209529991966113,0.02342114562321429,-0.02964087374557378,-0.04332132598873306,-0.025116250681322727,-0.0063291723185089355,-0.0009869569129716815
2018-09-04,NR,Société Générale rectifie le montant prévu pour solder les sanctions américa... (AFP),NR,Une présidente pour la Grande Chine (CF),NR,NR,NR,NR,-0.010838191513787065,-0.003921551446961713,0.041821131029772474,-0.025890643610261277,-0.02638763863161575,0.015214895572484677,-0.008170689948498122,-0.004913521909429841
2018-09-05,NR,NR,NR,NR,Trois nominations au sein du groupe (CF),NR,NR,NR,0.00366563312331758,-0.026843709729130638,0.053191416031016736,0.036657502592118085,0.018823529411764683,0.03592230046837086,-0.0034091255881569804,-0.009978519470554947
2018-09-06,Emprunt obligataire pour deux milliards (CF),Nouveau CEO des centres de solutions (CF),NR,"Franche cassure des 451,5 (CF) | Credit suisse n'est plus acheteur (CF)",NR,NR,"Taxation des Gafa: Le Maire appelle ""à une prise de conscience"" européenne (AFP)",Berenberg n'est plus à la vente (CF),0.0077777438693575895,-0.010724293032492893,0.05418319492809509,0.038363170811089864,0.02284620491921263,0.013041816515839466,0.00341455781554445,0.00588349141371447
2018-09-07,Investit dans une Fintech en Afrique (CF),NR,NR,NR,NR,NR,"Taxation des Gafa: Moscovici veut éviter un ""détricotage"" du texte (AFP) | Taxation des Gafa: la présidence de l'UE attend plus de ""clarté"" (AFP) | Excessivement décoté, selon Credit suisse (CF)",NR,0.0011009426291930247,0.011581916094336453,0.02957957789665655,0.0,0.02851711109341548,0.012972154309967676,0.016291855315313963,0.021605552747357093
2018-09-10,NR,NR,Remporte un contrat de 315 millions à Mumbai (CF),NR,NR,Va fournir cinq hélicoptères H145 à Aramco (CF),NR,NR,-0.008040980109477402,0.019087727864583348,0.027513442328973348,-0.01672240802675584,0.014150943396226356,0.014312976682445244,0.01137397657900796,0.02410593175242104
2018-09-11,NR,NR,NR,"Invest Securities reste à 'achat', abaisse sa cible (CF)",NR,"Rebondit vers 106,8E (CF)",Acquisition de XL Group finalisée le 12 septembre (CF),NR,-0.0014608842003189793,0.02249716552771064,0.008129998873257716,0.002498808622068305,0.024766369400737398,-0.01704758016491814,0.025400471189302998,0.024886397293139684
2018-09-12,NR,Nouveau test du support majeur des 35E (CF),NR,NR,Lancement de la ligne Capgemini Invent (CF),NR,L'acquisition du Groupe XL a bien été finalisée (CF),NR,-0.0076697987914319254,0.056732514714761706,-0.004292863418439485,-0.027015128756299744,0.003233242255160196,-0.0031864699870193247,0.0396807694188106,0.04664032967428966
2018-09-13,NR,NR,NR,NR,NR,Christian Scherer est nommé directeur commercial (CF),NR,NR,0.0022051222091092892,0.06616928985512849,-0.008818340689206283,0.006045637376967061,0.007910713147112114,0.007762208439624052,0.04423767847641957,0.05888088133859659
2018-09-14,Contrat pour le câble sous-marin MainOne (CF),NR,De nouveau bien placé dans les DJSI (CF),NR,NR,L'A220-100 de Delta sort de son hangar de peinture (CF),NR,NR,0.009164222643234243,0.056967244417689855,-0.009828630626107948,0.016771019220204852,0.01894642430293625,0.005649775148374392,0.05418825155951268,0.05801315115748751
2018-09-17,Lance une nouvelle campagne marque employeur (CF),NR,Alstom lance en Allemagne le premier train à hydrogène du monde (AFP) | Va lancer le premier train TER Hybride (CF) | Le premier train à hydrogène circule en Allemagne (CF),Vers un pullback sous 428E ? (CF),NR,Réalise le premier vol pour l'A380 d'ANA (CF) | Stefano Bortoli est nommé Président exécutif d'ATR (CF),"Termine en hausse, un analyste confirme son opinion (CF) | Parmi les assureurs préférés d'Oddo BHF (CF) | Taxation des Gafa: Kurz et Macron espèrent un accord d'ici la fin de l'année (AFP) | UBS reste 'neutre', ajuste sa cible (CF)",NR,0.00957996443363962,0.042556070953263525,-0.023273260752065483,0.035147392290249435,0.02465117698492003,-0.0030103451141804127,0.048807962850373476,0.053058072599802664
2018-09-18,NR,NR,Alstom: pas de fermeture de sites même si certains manquent de commandes (AFP) | Contrat de maintenance pour le métro de Riyad (CF),NR,NR,"Retombe vers 105E, borne basse du canal 103/110,8E (CF)",Convention avec un PSI pour annulation d'actions (CF),NR,0.0010973184520142176,0.04702967700132077,-0.016884998313667077,0.04328122962123482,0.013223866193015743,0.0013340898264855294,0.04775718196973733,0.05376760355260135
2018-09-19,NR,NR,Signe un contrat avec les chemins de fer ukrainiens (CF),NR,Contrat avec Wawanesa Mutual Insurance au Canada (CF),NR,NR,"Résistance 52,5E soulevée,vise 'gap' des 53,73E (CF)",0.012881868991053258,0.026910656730523064,-0.0096373062076468,0.03589163407784279,0.027624309780399203,0.019932331087028077,0.03948232575205135,0.031533270629005905
2018-09-20,Lancement d'un smartphone pour déficients visuels (CF),Boursorama en avance sur ses objectifs (CF),Réalise les nouveaux métros du Grand Paris Express (CF),NR,NR,4 hélicoptères pour la Royal Thai Air Force (CF),NR,NR,0.017601743094201927,0.004621661938551291,-0.0116929135175744,0.03271758870780306,0.014773762040952487,0.022919429479519193,0.02476644405563566,0.002946047567047083
2018-09-21,NR,NR,Oddo confirme son conseil après une nouvelle commande (CF),NR,NR,NR,NR,NR,-0.0021794904393199754,-0.023249598121374948,-0.020361367441539047,0.015394765366341767,-0.016780031511302473,0.012921322228325982,-0.008352953547215103,-0.033376118385596065
2018-09-24,NR,NR,NR,NR,Augmentation de capital réservée aux salariés (CF),Livraison du 1er avion ULR A350-900 à SIA (CF),NR,Tromperie commerciale sur un produit d'épargne: BNP Paribas relaxé en appel (AFP),-0.005839410570790848,-0.03315712824337469,-0.01562896752052323,0.02606789462537651,0.01634131091628155,0.013398736780209974,-0.010937210477123482,-0.04745328079330047
2018-09-25,NR,NR,Offre 30 actions gratuites à ses salariés (CF),NR,NR,NR,NR,NR,-0.005480508632790704,-0.04018909355297118,-0.03178670221348545,-0.0010860121777335197,0.0036003738197356583,0.005709920666786328,-0.01512245096773468,-0.04937821411613785
2018-09-26,NR,NR,NR,Intégré à l'indice EuroStoxx 50 (CF),NR,Le zénith des 111E de nouveau accessible (CF) | L'A330-900 reçoit la certification EASA (CF) | Les Philippines commandent un H145 (CF),NR,NR,-0.000726760807812088,-0.03681862643907108,-0.005633870775900607,0.008062785478846424,0.008064529912046536,-0.01309002354717459,-0.019413339961896536,-0.04557938183750254
